Video,Happy,Sad,Angry,Surprised,LeftEyeClosed,RightEyeClosed,MouthOpen
44,44.2,0.0,0.0,0.0,33.1,43.8,0.7
44,40.45,0.0,3.65,0.0,59.7,71.9,1.35
44,40.85,0.0,0.0,0.0,59.7,63.75,4.35
44,30.9,0.0,0.0,0.0,64.4,59.7,0.35
45,13.7,0.0,0.0,0.0,0.0,0.0,0.0
45,38.5,0.0,0.0,0.0,8.75,0.0,0.0
45,72.4,0.0,0.0,0.0,13.75,4.4,1.35
45,60.35,0.0,0.55,0.0,3.75,0.0,4.35
45,31.85,0.0,0.0,5.65,0.0,4.4,0.0
46,0.0,0.0,66.4,0.0,30.0,83.8,0.0
46,0.0,0.0,45.75,0.0,26.9,30.0,0.0
46,0.0,0.0,18.9,0.0,6.3,0.0,0.0
47,0,0,0,0,0,0,0
47,1.4,0.0,0.0,0.0,0.0,0.0,0.0
47,14.4,0.0,0.0,0.0,0.0,0.0,0.0
47,0,0,0,0,0,0,0
48,33.1,0.0,0.0,0.0,5.0,0.0,3.3
48,22.8,0.0,0.0,0.0,13.75,33.75,2.8
48,0.0,0.0,0.0,0.0,1.9,48.75,4.35
48,13.3,0.0,0.0,0.0,0.0,28.8,2.0
